seconds,CO,CO2,PMred,flow,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,temp,rboxtemp,glastemp,gboxtemp,PMgrenRH,chiptemp
1.0,-92.40480000000001,1645.1799999999998,9966.6,0.0,24.02205,22.5,6904.0,52799.0,27.084,29.32557,25.62,26.108,18.16989,27.18435,0.0,352.0,746.0
4.0,-4.2336,1203.484,9831.0,0.0,24.01062,22.5,7888.0,52834.0,27.084,29.333190000000002,25.864,25.864,34.49574,27.17673,0.0,52.0,747.0
7.0,44.064,674.756,9898.8,0.0,24.003,22.5,5868.0,52863.0,26.84,29.34843,25.375999999999998,26.108,23.34006,27.17673,0.0,352.0,748.0
10.0,-34.0848,666.6719999999999,9898.8,0.0,23.99919,22.5,7012.0,52885.0,27.084,29.352240000000002,25.62,25.864,45.33519,27.18435,0.0,351.0,747.0
13.0,10.0656,662.372,9898.8,0.0,23.98395,22.5,6685.0,52904.0,27.084,29.36367,25.864,25.864,23.42007,27.17673,0.0,351.0,747.0
16.0,6.7824,673.896,9966.6,0.0,23.98395,22.5,6967.0,52923.0,27.084,29.35986,25.62,25.864,45.68571,27.17673,0.0,352.0,747.0
19.0,-9.3744,673.7239999999999,9831.0,0.0,23.97252,22.6,6683.0,52937.0,26.84,29.35605,25.864,26.108,23.46198,27.17673,0.0,350.0,747.0
22.0,5.356800000000001,657.3839999999999,9898.8,0.0,23.96109,22.5,6960.0,52946.0,26.84,29.36367,25.864,25.864,45.76191,27.18054,0.0,351.0,747.0
25.0,0.0,653.7719999999999,9898.8,0.0,23.95347,22.5,6684.0,52956.0,27.328,29.36367,25.62,25.864,23.4696,27.1653,0.0,0.0,746.0
28.0,-1.8576000000000001,651.3639999999999,9831.0,0.0,23.94966,22.5,6963.0,52963.0,27.328,29.36367,25.375999999999998,25.864,45.76572,27.1653,0.0,349.0,747.0
31.0,2.0304,649.9879999999999,9831.0,0.0,23.93823,22.5,6684.0,52969.0,27.328,29.371290000000002,25.62,25.62,23.47341,27.1653,0.0,50.0,747.0
34.0,-0.4752,662.544,9831.0,0.0,23.93823,22.5,6952.0,52974.0,27.084,29.3751,25.62,25.62,45.81906,27.1653,0.0,350.0,747.0
37.0,-0.1296,649.8159999999999,9898.8,0.0,23.93061,22.6,6686.0,52979.0,27.328,29.37891,25.62,25.62,23.47341,27.1653,0.0,50.0,746.0
40.0,0.648,649.472,9831.0,0.0,23.93061,22.5,6947.0,52983.0,27.328,29.3751,25.62,25.864,45.84192,27.15768,0.0,350.0,747.0
43.0,-0.3024,649.472,9898.8,0.0,23.92299,22.6,6686.0,52986.0,27.328,29.371290000000002,25.864,26.108,23.47722,27.16149,0.0,50.0,747.0
46.0,0.38880000000000003,649.472,9966.6,0.0,23.92299,22.6,6950.0,52986.0,27.328,29.371290000000002,25.131999999999998,25.62,45.83811,27.15387,0.0,50.0,747.0
49.0,0.1728,649.6439999999999,9898.8,0.0,23.91537,22.6,6685.0,52989.0,27.084,29.3751,25.62,25.864,23.47341,27.16149,0.0,0.0,747.0
52.0,-0.1296,649.6439999999999,9966.6,0.0,23.92299,22.6,6964.0,52991.0,27.084,29.38272,25.375999999999998,25.62,45.75429,27.15006,0.0,350.0,748.0
55.0,0.38880000000000003,649.472,9898.8,0.0,23.91537,22.6,6686.0,52992.0,27.328,29.3751,25.375999999999998,25.62,23.47722,27.14625,0.0,0.0,747.0
58.0,0.0864,649.6439999999999,9898.8,0.0,23.91918,22.6,6958.0,52994.0,27.328,29.36748,25.864,25.62,45.7962,27.14244,0.0,50.0,747.0
61.0,0.3024,636.0559999999999,9966.6,0.0,23.91537,22.6,6688.0,52995.0,27.328,29.37891,25.62,25.62,23.48484,27.15006,0.0,0.0,747.0
64.0,0.1296,636.4,9966.6,0.0,23.91156,22.6,6936.0,52994.0,27.328,29.37891,25.62,25.864,45.91812,27.15006,0.0,49.0,748.0
67.0,0.0432,658.4159999999999,9831.0,0.0,23.91156,22.6,6686.0,52995.0,27.328,29.3751,25.62,25.62,23.48484,27.15006,0.0,9.0,747.0
70.0,0.1728,649.472,9831.0,0.0,23.89632,22.6,6935.0,52996.0,27.084,29.37891,25.62,25.375999999999998,45.92193,27.14625,0.0,50.0,746.0
73.0,0.0432,645.516,9898.8,0.0,23.88489,22.6,6686.0,52996.0,27.328,29.37891,25.864,25.864,23.48865,27.14625,0.0,0.0,747.0
76.0,0.0432,645.516,9898.8,0.0,23.89251,22.6,6939.0,52997.0,27.084,29.37891,25.375999999999998,25.62,45.92574,27.15768,0.0,50.0,747.0
79.0,0.0864,645.1719999999999,9898.8,0.0,23.8887,22.6,6686.0,52997.0,27.084,29.37891,25.62,25.864,23.49246,27.14625,0.0,0.0,747.0
82.0,0.2592,645.3439999999999,9966.6,0.0,23.8887,22.5,6941.0,52998.0,27.084,29.371290000000002,25.62,25.62,45.89145,27.14625,0.0,50.0,747.0
85.0,0.21600000000000003,645.1719999999999,9898.8,0.0,23.90013,22.6,6687.0,52997.0,27.084,29.3751,25.375999999999998,25.62,23.50008,27.13863,0.0,1.0,747.0
88.0,0.0432,645.3439999999999,9831.0,0.0,23.90775,22.6,6927.0,52997.0,27.084,29.37891,25.375999999999998,25.62,45.97146,27.14244,0.0,50.0,746.0
91.0,0.1728,645.516,9898.8,0.0,23.9268,22.6,6687.0,52998.0,27.084,29.390340000000002,25.375999999999998,25.864,23.48865,27.15006,0.0,1.0,748.0
94.0,0.0864,636.228,9966.6,0.0,23.94204,22.6,6942.0,52997.0,26.84,29.36748,25.62,25.864,45.9105,27.14625,0.0,50.0,748.0
97.0,0.0864,645.1719999999999,9898.8,0.0,23.97252,22.6,6688.0,52997.0,27.084,29.37891,25.864,25.62,23.49246,27.15006,0.0,2.0,747.0
100.0,0.2592,645.1719999999999,9898.8,0.0,23.98395,22.6,6931.0,52998.0,27.328,29.390340000000002,25.375999999999998,25.62,45.9486,27.14625,0.0,350.0,747.0
103.0,0.1728,645.516,9966.6,0.0,24.01062,22.6,6687.0,52998.0,27.328,29.39415,25.62,25.62,23.48484,27.15768,0.0,50.0,747.0
106.0,0.0,645.1719999999999,9966.6,0.0,24.01443,22.6,6934.0,52998.0,27.084,29.38272,25.375999999999998,25.375999999999998,45.94098,27.13863,0.0,350.0,746.0
109.0,0.0432,645.1719999999999,9898.8,0.0,24.01824,22.6,6688.0,52998.0,26.84,29.38272,25.375999999999998,25.864,23.50008,27.14625,0.0,50.0,747.0
112.0,0.0864,653.944,9966.6,0.0,24.0411,22.6,6938.0,52999.0,27.084,29.38272,25.62,25.375999999999998,45.92574,27.14625,0.0,351.0,748.0
115.0,0.38880000000000003,653.944,9966.6,0.0,24.0411,22.6,6687.0,52998.0,27.084,29.39415,25.864,25.62,23.49627,27.14625,0.0,51.0,747.0
118.0,-0.1296,658.588,9966.6,0.0,24.03348,22.6,6945.0,52997.0,27.328,29.39415,25.375999999999998,25.62,45.88002,27.15006,0.0,351.0,748.0
121.0,0.1728,658.2439999999999,9831.0,0.0,24.0411,22.6,6688.0,52997.0,27.328,29.39796,25.864,25.864,23.50008,27.14625,0.0,51.0,748.0
124.0,-0.0432,653.944,9898.8,0.0,24.03348,22.6,6921.0,52999.0,27.328,29.39796,25.864,25.62,46.01337,27.15006,0.0,351.0,748.0
127.0,0.2592,654.116,9898.8,0.0,24.02967,22.6,6689.0,52998.0,27.328,29.38653,25.864,25.375999999999998,23.50389,27.15768,0.0,51.0,747.0
130.0,-0.2592,654.116,9831.0,0.0,24.01824,22.6,6927.0,52997.0,27.084,29.39415,25.62,25.62,45.99432,27.13863,0.0,350.0,748.0
133.0,0.21600000000000003,662.7159999999999,9898.8,0.0,24.01824,22.6,6688.0,52998.0,27.328,29.39415,25.62,25.864,23.5077,27.15006,0.0,52.0,748.0
136.0,0.1296,663.232,9898.8,0.0,24.01443,22.6,6928.0,52999.0,27.084,29.390340000000002,25.62,25.864,45.98289,27.14244,0.0,351.0,747.0
139.0,0.0864,667.3599999999999,9831.0,0.0,24.01062,22.6,6688.0,52999.0,27.084,29.39796,25.375999999999998,25.864,23.51532,27.15387,0.0,50.0,747.0
142.0,0.2592,667.3599999999999,9898.8,0.0,24.02205,22.6,6914.0,52998.0,27.328,29.38653,25.62,25.864,46.05147,27.15006,0.0,352.0,747.0
145.0,0.43200000000000005,662.7159999999999,9898.8,0.0,24.02967,22.6,6689.0,52998.0,27.084,29.39415,25.131999999999998,25.375999999999998,23.48865,27.15006,0.0,353.0,748.0
148.0,-0.5616,663.232,9966.6,0.0,24.04872,22.6,6931.0,52998.0,27.328,29.39796,25.864,25.62,45.97908,27.15387,0.0,352.0,748.0
151.0,0.1296,662.8879999999999,9966.6,0.0,24.06396,22.6,6689.0,52998.0,27.084,29.4132,25.864,25.62,23.51151,27.15387,0.0,52.0,747.0
154.0,0.3456,676.132,9966.6,0.0,24.09825,22.5,6910.0,52999.0,27.084,29.40177,25.864,25.62,46.07433,27.15387,0.0,352.0,748.0
157.0,-0.21600000000000003,676.132,9966.6,0.0,24.10968,22.6,6689.0,52999.0,27.084,29.40558,25.62,25.62,23.5077,27.15387,0.0,352.0,748.0
160.0,0.1728,676.304,9898.8,0.0,24.13254,22.6,6911.0,52998.0,27.084,29.40177,25.864,25.864,46.07052,27.15768,0.0,351.0,748.0
