seconds,CO,CO2,PMred,flow,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,temp,rboxtemp,glastemp,gboxtemp,PMgrenRH,chiptemp
91.0,1.296,671.4879999999999,9966.6,0.0,23.75535,6553.6,6598.0,52997.0,26.352,28.08351,24.644,24.887999999999998,22.95144,26.03754,0.0,369.0,742.0
94.0,1.3824,671.66,9966.6,0.0,23.75535,6553.6,7400.0,52998.0,26.352,28.087320000000002,24.644,25.131999999999998,43.52544,26.03754,0.0,367.0,742.0
97.0,1.3392000000000002,671.3159999999999,9966.6,0.0,23.75535,6553.6,6603.0,52997.0,25.864,28.09113,24.644,24.644,22.9362,26.04516,0.0,368.0,743.0
100.0,1.4256,658.2439999999999,9966.6,0.0,23.76297,6553.6,7412.0,52998.0,26.108,28.087320000000002,24.644,24.887999999999998,43.45305,26.03754,0.0,367.0,744.0
103.0,1.296,667.016,9966.6,0.0,23.77059,6553.6,6598.0,52998.0,26.108,28.09494,24.644,24.887999999999998,22.95525,26.04135,0.0,367.0,743.0
106.0,1.4688,666.8439999999999,9898.8,0.0,23.7744,6553.6,7400.0,52998.0,26.108,28.09113,24.887999999999998,24.887999999999998,43.52163,26.04516,0.0,368.0,743.0
109.0,1.2096,666.8439999999999,9966.6,0.0,23.77821,6553.6,6601.0,52997.0,25.864,28.09494,24.644,24.887999999999998,22.95144,26.03373,0.0,368.0,742.0
112.0,1.512,658.2439999999999,9898.8,0.0,23.77059,6553.6,7401.0,52998.0,26.352,28.09494,24.4,24.887999999999998,43.53306,26.04516,0.0,368.0,743.0
115.0,1.5984,658.4159999999999,9966.6,0.0,23.76297,6553.6,6606.0,52999.0,26.108,28.09494,24.644,24.644,22.94763,26.03754,0.0,368.0,744.0
118.0,1.3824,658.2439999999999,9966.6,0.0,23.77059,6553.6,7402.0,52997.0,26.108,28.09494,24.644,24.887999999999998,43.51401,26.04897,0.0,368.0,742.0
121.0,1.4688,667.016,9966.6,0.0,23.77059,6553.6,6604.0,52998.0,25.864,28.09494,24.644,24.644,22.94382,26.04897,0.0,368.0,744.0
124.0,1.3824,667.188,10034.4,0.0,23.7744,6553.6,7402.0,52998.0,26.108,28.10256,24.887999999999998,24.644,43.50639,26.04897,0.0,368.0,742.0
127.0,1.4256,667.188,9898.8,0.0,23.78202,6553.6,6603.0,52999.0,26.108,28.106370000000002,24.644,24.644,22.94763,26.04897,0.0,367.0,744.0
130.0,1.5552000000000001,666.8439999999999,9898.8,0.0,23.77821,6553.6,7392.0,52997.0,25.864,28.10256,24.887999999999998,24.4,43.57116,26.05278,0.0,367.0,743.0
133.0,1.3392000000000002,667.016,9898.8,0.0,23.77821,6553.6,6607.0,52998.0,25.864,28.12161,24.644,24.887999999999998,22.95906,26.04897,0.0,368.0,743.0
136.0,1.7280000000000002,667.188,10034.4,0.0,23.77821,6553.6,7398.0,52998.0,26.108,28.11399,24.644,24.644,43.55973,26.05659,0.0,368.0,744.0
139.0,1.1664,666.8439999999999,9966.6,0.0,23.7744,6553.6,6608.0,52998.0,26.352,28.11399,25.131999999999998,24.644,22.94382,26.0604,0.0,367.0,743.0
142.0,1.512,658.2439999999999,9966.6,0.0,23.77059,6553.6,7395.0,52998.0,26.352,28.1178,24.644,24.644,43.53306,26.05659,0.0,368.0,743.0
145.0,1.7712,658.4159999999999,9966.6,0.0,23.77059,6553.6,6608.0,52998.0,26.352,28.12161,24.887999999999998,24.887999999999998,22.95144,26.0604,0.0,368.0,742.0
148.0,1.4688,658.2439999999999,9898.8,0.0,23.75916,6553.6,7398.0,53000.0,25.864,28.1178,24.4,24.887999999999998,43.54449,26.05659,0.0,367.0,744.0
151.0,1.1664,671.4879999999999,9966.6,0.0,23.75916,6553.6,6609.0,52998.0,26.352,28.12161,24.887999999999998,24.644,22.95144,26.0604,0.0,368.0,743.0
154.0,1.5984,658.2439999999999,9898.8,0.0,23.74392,6553.6,7391.0,52998.0,26.108,28.12161,24.887999999999998,24.887999999999998,43.59021,26.06421,0.0,367.0,744.0
157.0,1.5552000000000001,658.4159999999999,9898.8,0.0,23.75535,6553.6,6611.0,52997.0,26.352,28.12161,24.4,24.887999999999998,22.95144,26.06421,0.0,367.0,743.0
160.0,1.3392000000000002,658.4159999999999,10034.4,0.0,23.75535,6553.6,7399.0,52998.0,26.352,28.1178,24.887999999999998,24.644,43.5483,26.06802,0.0,367.0,742.0
163.0,1.8144,658.4159999999999,9898.8,0.0,23.76297,6553.6,6611.0,52998.0,26.108,28.12923,24.887999999999998,24.644,22.96287,26.07183,0.0,367.0,743.0
166.0,1.3392000000000002,658.4159999999999,9966.6,0.0,23.75916,6553.6,7391.0,52999.0,26.108,28.13304,25.131999999999998,24.4,43.5864,26.06802,0.0,368.0,743.0
169.0,1.4688,658.4159999999999,9898.8,0.0,23.76678,6553.6,6614.0,52998.0,26.352,28.12923,24.644,25.131999999999998,22.95144,26.06802,0.0,368.0,743.0
172.0,1.6416000000000002,658.2439999999999,9966.6,0.0,23.7744,6553.6,7391.0,52997.0,26.108,28.12923,24.887999999999998,24.644,43.57497,26.07564,0.0,368.0,744.0
175.0,1.5552000000000001,658.4159999999999,9898.8,0.0,23.77059,6553.6,6613.0,52997.0,26.108,28.144470000000002,25.131999999999998,24.887999999999998,22.94763,26.07183,0.0,368.0,744.0
178.0,1.5984,658.4159999999999,9898.8,0.0,23.77821,6553.6,7398.0,52998.0,26.352,28.14066,24.644,24.887999999999998,43.53306,26.07183,0.0,367.0,742.0
181.0,1.4256,658.072,9898.8,0.0,23.77821,6553.6,6612.0,52997.0,26.108,28.14066,24.887999999999998,24.887999999999998,22.96668,26.07945,0.0,368.0,743.0
184.0,1.6848,658.588,9898.8,0.0,23.80107,6553.6,7390.0,52997.0,26.108,28.14828,24.887999999999998,24.887999999999998,43.59402,26.07945,0.0,367.0,743.0
187.0,1.2528000000000001,658.4159999999999,9966.6,0.0,23.78964,6553.6,6614.0,52997.0,26.108,28.144470000000002,24.644,24.644,22.95525,26.08326,0.0,367.0,743.0
190.0,1.4256,658.4159999999999,9898.8,0.0,23.79726,6553.6,7383.0,52999.0,25.864,28.15209,24.887999999999998,25.131999999999998,43.63212,26.08326,0.0,367.0,744.0
193.0,1.8144,658.4159999999999,9898.8,0.0,23.80107,6553.6,6613.0,52998.0,26.108,28.15209,24.644,24.887999999999998,22.96668,26.08326,0.0,367.0,743.0
196.0,1.1664,658.4159999999999,10034.4,0.0,23.80488,6553.6,7385.0,52998.0,26.108,28.15209,24.644,24.887999999999998,43.6245,26.08707,0.0,368.0,743.0
199.0,1.7712,658.2439999999999,10034.4,0.0,23.80869,6553.6,6615.0,52998.0,25.864,28.15209,24.644,24.644,22.96287,26.08707,0.0,368.0,743.0
202.0,1.3824,658.4159999999999,9966.6,0.0,23.8125,6553.6,7389.0,52998.0,26.596,28.15971,24.887999999999998,24.887999999999998,43.59783,26.08707,0.0,367.0,744.0
205.0,1.3392000000000002,662.7159999999999,9898.8,0.0,23.82012,6553.6,6616.0,52998.0,26.108,28.15971,24.887999999999998,24.887999999999998,22.95906,26.09088,0.0,368.0,744.0
208.0,1.8144,662.8879999999999,9898.8,0.0,23.82774,6553.6,7382.0,52997.0,26.596,28.163520000000002,24.4,24.644,43.64736,26.08707,0.0,368.0,743.0
211.0,1.1664,658.2439999999999,9898.8,0.0,23.82774,6553.6,6623.0,52998.0,26.596,28.16733,24.644,24.644,22.95144,26.09469,0.0,367.0,744.0
214.0,1.2528000000000001,658.2439999999999,9966.6,0.0,23.83155,6553.6,7387.0,52997.0,26.108,28.163520000000002,24.887999999999998,24.887999999999998,43.63593,26.0985,0.0,368.0,743.0
217.0,1.6848,658.2439999999999,9898.8,0.0,23.83917,6553.6,6619.0,52998.0,26.352,28.16733,24.887999999999998,24.887999999999998,22.95906,26.0985,0.0,368.0,742.0
220.0,1.3392000000000002,658.588,9966.6,0.0,23.84298,6553.6,7381.0,52998.0,26.108,28.17495,24.644,24.644,43.64736,26.09469,0.0,367.0,744.0
223.0,1.3392000000000002,658.2439999999999,9966.6,0.0,23.84679,6553.6,6622.0,52998.0,26.108,28.17495,24.4,24.644,22.96668,26.10993,0.0,367.0,743.0
226.0,1.3392000000000002,658.072,9898.8,0.0,23.85441,6553.6,7384.0,52998.0,26.108,28.16733,24.644,24.644,43.6245,26.10612,0.0,367.0,744.0
229.0,1.3824,658.2439999999999,9966.6,0.0,23.8506,6553.6,6621.0,52999.0,26.352,28.17495,24.887999999999998,24.644,22.96287,26.10612,0.0,367.0,743.0
232.0,1.3392000000000002,658.2439999999999,9966.6,0.0,23.85822,6553.6,7381.0,52998.0,26.108,28.17876,24.887999999999998,24.4,43.64736,26.11374,0.0,367.0,743.0
235.0,1.2096,659.1039999999999,9966.6,0.0,23.8506,6553.6,6624.0,52998.0,26.108,28.18638,24.644,24.644,22.95525,26.10993,0.0,367.0,743.0
238.0,1.4688,646.8919999999999,9898.8,0.0,23.8506,6553.6,7385.0,52997.0,25.864,28.18638,24.887999999999998,24.644,43.63974,26.11755,0.0,368.0,743.0
241.0,1.2096,662.372,9898.8,0.0,23.85441,6553.6,6621.0,52999.0,26.352,28.18638,24.887999999999998,25.131999999999998,22.95906,26.11755,0.0,367.0,743.0
244.0,1.296,664.4359999999999,9966.6,0.0,23.85822,6553.6,7377.0,52997.0,26.352,28.182570000000002,24.887999999999998,24.644,43.6626,26.10993,0.0,367.0,743.0
247.0,1.3392000000000002,665.8119999999999,9898.8,0.0,23.85822,6553.6,6624.0,52998.0,26.108,28.18638,24.644,24.887999999999998,22.95144,26.11374,0.0,367.0,743.0
250.0,1.2528000000000001,666.8439999999999,9898.8,0.0,23.86965,6553.6,7378.0,52999.0,26.596,28.18638,24.887999999999998,24.644,43.67022,26.12136,0.0,366.0,743.0
253.0,1.2096,667.016,9898.8,0.0,23.86584,6553.6,6624.0,52998.0,26.352,28.19019,24.887999999999998,24.644,22.97049,26.12517,0.0,368.0,742.0
256.0,1.3392000000000002,667.5319999999999,9966.6,0.0,23.86965,6553.6,7375.0,52999.0,26.108,28.194,24.887999999999998,24.887999999999998,43.68165,26.11374,0.0,368.0,744.0
259.0,1.296,667.5319999999999,9966.6,0.0,23.86965,6553.6,6627.0,52996.0,25.864,28.201620000000002,24.644,24.887999999999998,22.96668,26.12517,0.0,367.0,743.0
262.0,1.1232,667.5319999999999,9831.0,0.0,23.87346,6553.6,7376.0,52997.0,26.108,28.19019,24.887999999999998,24.644,43.67403,26.12517,0.0,367.0,744.0
265.0,1.512,667.5319999999999,9966.6,0.0,23.88489,6553.6,6629.0,52999.0,26.352,28.194,25.131999999999998,24.887999999999998,22.95525,26.12898,0.0,367.0,743.0
268.0,1.0368,667.188,9966.6,0.0,23.8887,6553.6,7375.0,52998.0,26.352,28.194,24.644,25.131999999999998,43.68927,26.12136,0.0,367.0,744.0
271.0,1.2096,689.376,9898.8,0.0,23.89632,6553.6,6627.0,52997.0,26.108,28.201620000000002,24.644,24.887999999999998,22.95525,26.12898,0.0,369.0,744.0
274.0,1.3392000000000002,689.204,9831.0,0.0,23.90394,6553.6,7376.0,52997.0,26.108,28.201620000000002,24.644,24.887999999999998,43.67022,26.13279,0.0,368.0,744.0
277.0,1.1232,689.376,9898.8,0.0,23.91156,6553.6,6627.0,52999.0,26.352,28.201620000000002,24.887999999999998,24.887999999999998,22.9743,26.14041,0.0,368.0,743.0
280.0,1.1664,676.304,9966.6,0.0,23.91537,6553.6,7378.0,52999.0,26.352,28.20924,24.887999999999998,25.131999999999998,43.67022,26.1366,0.0,368.0,744.0
283.0,1.3392000000000002,676.132,9898.8,0.0,23.91918,6553.6,6630.0,52997.0,26.352,28.20543,24.644,24.644,22.95906,26.1366,0.0,368.0,743.0
286.0,1.08,685.0759999999999,10034.4,0.0,23.91918,6553.6,7364.0,52998.0,26.352,28.20924,24.887999999999998,24.887999999999998,43.75404,26.14041,0.0,367.0,743.0
289.0,1.2528000000000001,698.1479999999999,9898.8,0.0,23.93061,6553.6,6630.0,52998.0,26.108,28.22067,24.644,24.644,22.97049,26.15565,0.0,368.0,744.0
292.0,1.2528000000000001,684.904,9898.8,0.0,23.93823,6553.6,7375.0,52998.0,26.108,28.21686,24.887999999999998,24.887999999999998,43.69689,26.14041,0.0,367.0,743.0
295.0,0.7776000000000001,685.0759999999999,9966.6,0.0,23.94966,6553.6,6634.0,52999.0,26.108,28.22067,24.644,24.887999999999998,22.94763,26.14422,0.0,367.0,744.0
298.0,1.2528000000000001,684.732,9831.0,0.0,23.94966,6553.6,7378.0,52996.0,26.352,28.22067,24.887999999999998,24.644,43.65879,26.14803,0.0,367.0,743.0
301.0,0.9072,684.904,9966.6,0.0,23.97633,6553.6,6629.0,52999.0,26.352,28.22067,24.644,24.887999999999998,22.9743,26.14803,0.0,367.0,743.0
304.0,1.0368,698.492,9966.6,0.0,23.98395,6553.6,7373.0,52999.0,26.596,28.22448,24.887999999999998,24.644,43.7007,26.14422,0.0,368.0,744.0
307.0,1.1232,685.2479999999999,9898.8,0.0,23.99157,6553.6,6631.0,52999.0,25.864,28.2321,24.644,24.644,22.96668,26.15946,0.0,367.0,743.0
310.0,1.0368,698.3199999999999,9898.8,0.0,23.99538,6553.6,7376.0,52998.0,26.352,28.2321,24.887999999999998,24.644,43.68165,26.15946,0.0,369.0,744.0
313.0,0.9504,684.904,10034.4,0.0,24.01443,6553.6,6634.0,52998.0,26.108,28.23972,24.887999999999998,24.887999999999998,22.95906,26.15184,0.0,369.0,744.0
316.0,1.0368,685.0759999999999,9898.8,0.0,24.02205,6553.6,7368.0,52998.0,26.352,28.24734,24.887999999999998,24.644,43.72737,26.15565,0.0,368.0,744.0
319.0,0.8640000000000001,698.492,9966.6,0.0,24.04491,6553.6,6634.0,53000.0,26.108,28.23591,24.644,25.131999999999998,22.96668,26.16708,0.0,368.0,744.0
322.0,1.0368,707.4359999999999,9898.8,0.0,24.05634,6553.6,7374.0,52999.0,26.108,28.24353,24.644,24.887999999999998,43.70832,26.16327,0.0,369.0,744.0
325.0,0.9936,698.3199999999999,9966.6,0.0,24.06396,6553.6,6632.0,52998.0,26.108,28.23972,24.887999999999998,24.887999999999998,22.9743,26.15565,0.0,369.0,743.0
328.0,0.9072,698.1479999999999,9898.8,0.0,24.06015,6553.6,7358.0,52998.0,26.108,28.24353,24.644,24.644,43.7769,26.15946,0.0,369.0,744.0
331.0,1.2096,698.3199999999999,9966.6,0.0,24.07158,6553.6,6636.0,52998.0,26.108,28.25115,24.887999999999998,24.644,22.96287,26.16708,0.0,369.0,743.0
334.0,0.6912,698.3199999999999,9898.8,0.0,24.08301,6553.6,7374.0,52999.0,26.352,28.25496,24.887999999999998,24.887999999999998,43.69689,26.16327,0.0,369.0,743.0
337.0,0.9936,698.492,9898.8,0.0,24.08301,6553.6,6633.0,52998.0,26.108,28.25496,24.644,24.887999999999998,22.97049,26.1747,0.0,369.0,744.0
340.0,1.0368,698.492,9898.8,0.0,24.0792,6553.6,7365.0,52998.0,26.108,28.25115,24.887999999999998,24.644,43.74642,26.16327,0.0,368.0,744.0
343.0,0.6912,698.492,9966.6,0.0,24.08301,6553.6,6634.0,52999.0,26.352,28.26258,24.887999999999998,24.887999999999998,22.9743,26.1747,0.0,369.0,743.0
346.0,0.9504,720.852,9898.8,0.0,24.08682,6553.6,7369.0,52997.0,26.352,28.25877,24.887999999999998,24.887999999999998,43.71594,26.1747,0.0,369.0,744.0
349.0,0.7344,707.4359999999999,10034.4,0.0,24.09444,6553.6,6638.0,52998.0,26.352,28.25877,24.644,25.131999999999998,22.96668,26.17851,0.0,370.0,744.0
352.0,0.6912,707.78,9898.8,0.0,24.10587,6553.6,7370.0,52997.0,26.352,28.26258,24.644,24.644,43.71594,26.1747,0.0,369.0,744.0
355.0,1.1232,707.2639999999999,9898.8,0.0,24.11349,6553.6,6636.0,53000.0,26.108,28.26639,24.887999999999998,24.887999999999998,22.97049,26.1747,0.0,369.0,743.0
358.0,0.648,715.8639999999999,9898.8,0.0,24.12111,6553.6,7363.0,52999.0,26.596,28.26258,25.131999999999998,24.887999999999998,43.76166,26.18994,0.0,369.0,743.0
361.0,0.7776000000000001,716.208,9831.0,0.0,24.12873,6553.6,6635.0,52998.0,26.108,28.26258,24.887999999999998,24.887999999999998,22.98192,26.18232,0.0,368.0,745.0
364.0,0.9936,725.1519999999999,9898.8,0.0,24.13254,6553.6,7359.0,52997.0,26.352,28.27401,24.644,24.644,43.79214,26.18232,0.0,368.0,744.0
367.0,0.648,716.036,10034.4,0.0,24.13254,6553.6,6641.0,52999.0,26.352,28.2702,24.887999999999998,24.887999999999998,22.96668,26.18994,0.0,368.0,744.0
370.0,0.7344,716.208,9966.6,0.0,24.14397,6553.6,7361.0,52997.0,26.352,28.27782,24.644,24.644,43.77309,26.18613,0.0,369.0,744.0
373.0,0.9072,716.208,9966.6,0.0,24.16302,6553.6,6638.0,52997.0,26.352,28.27782,24.644,24.887999999999998,22.9743,26.18994,0.0,368.0,743.0
376.0,0.648,716.208,9966.6,0.0,24.17826,6553.6,7353.0,52998.0,26.108,28.27782,24.887999999999998,24.644,43.82262,26.18994,0.0,368.0,744.0
379.0,0.6048,716.036,9966.6,0.0,24.20493,6553.6,6645.0,52999.0,26.108,28.28544,24.644,24.887999999999998,22.96287,26.19375,0.0,368.0,743.0
382.0,0.7344,716.38,10034.4,0.0,24.21636,6553.6,7364.0,52999.0,26.596,28.28544,24.644,24.887999999999998,43.75785,26.19375,0.0,368.0,743.0
385.0,0.7344,729.6239999999999,9898.8,0.0,24.22779,6553.6,6642.0,52997.0,26.596,28.29306,24.644,24.644,22.9743,26.20137,0.0,370.0,744.0
388.0,0.7344,738.568,9831.0,0.0,24.24303,6553.6,7358.0,52998.0,26.352,28.27782,24.644,24.644,43.78452,26.19756,0.0,369.0,743.0
