seconds,CO,CO2,PMred,DP,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,temp,rboxtemp,glastemp,gboxtemp,chiptemp
88.0,0.1296,596.1519999999999,9898.8,0.45202439024390245,23.55723,23.200000000000003,7352.0,52996.0,26.352,28.28925,25.131999999999998,25.131999999999998,43.6626,26.22042,0.0,743.0
91.0,0.4752,596.1519999999999,9966.6,0.45207317073170733,23.56104,23.200000000000003,6614.0,52998.0,25.864,28.28544,24.4,24.887999999999998,22.98192,26.22042,0.0,743.0
94.0,0.0864,595.9799999999999,9898.8,0.4620975609756098,23.5458,23.200000000000003,7348.0,52996.0,26.108,28.28544,24.644,25.131999999999998,43.68165,26.22423,0.0,744.0
97.0,0.21600000000000003,595.9799999999999,9898.8,0.46207317073170734,23.53437,23.200000000000003,6617.0,52997.0,26.108,28.29306,24.887999999999998,24.887999999999998,22.9743,26.22804,0.0,744.0
100.0,0.38880000000000003,596.1519999999999,9898.8,0.4621219512195122,23.53056,23.200000000000003,7362.0,52997.0,26.352,28.28544,25.131999999999998,25.131999999999998,43.62069,26.22042,0.0,744.0
103.0,0.1728,596.324,10034.4,0.4620975609756098,23.53056,23.200000000000003,6617.0,52997.0,26.108,28.29306,24.887999999999998,25.131999999999998,22.9743,26.22423,0.0,744.0
106.0,0.2592,582.9079999999999,9831.0,0.4585365853658537,23.53056,23.1,7355.0,52996.0,26.352,28.29687,24.887999999999998,24.887999999999998,43.67022,26.22423,0.0,745.0
109.0,0.1728,595.9799999999999,9966.6,0.4598536585365854,23.53056,23.200000000000003,6616.0,52998.0,26.108,28.29687,24.887999999999998,24.887999999999998,22.98573,26.22804,0.0,743.0
112.0,0.3456,596.324,9898.8,0.4644390243902439,23.5458,23.1,7350.0,52997.0,26.108,28.29306,24.887999999999998,24.887999999999998,43.69689,26.22804,0.0,744.0
115.0,0.3024,587.38,9966.6,0.46992682926829266,23.56485,23.200000000000003,6618.0,52999.0,26.108,28.30068,24.887999999999998,25.131999999999998,22.98954,26.22804,0.0,744.0
118.0,0.1296,587.7239999999999,9966.6,0.46219512195121953,23.59152,23.200000000000003,7343.0,52997.0,26.108,28.29687,25.131999999999998,25.131999999999998,43.71975,26.22804,0.0,744.0
