seconds,CO,CO2,PMred,flow,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,temp,rboxtemp,glastemp,gboxtemp,gasboxRH,chiptemp
1.0,-171.6336,1735.4799999999998,9966.6,0.0,22.39518,21.0,6782.0,52740.0,21.716,22.96668,20.496,21.472,16.86306,22.68855,0.0,0.0,724.0
4.0,36.072,1207.7839999999999,9966.6,0.0,22.4028,21.0,7852.0,52780.0,21.472,22.98573,20.496,21.227999999999998,32.25546,22.68093,0.0,0.0,724.0
7.0,40.046400000000006,619.1999999999999,9966.6,0.0,22.40661,21.0,4550.0,52811.0,21.716,22.99335,20.74,21.472,16.67256,22.69236,0.0,0.0,725.0
10.0,-49.0752,606.3,9966.6,0.0,22.41042,21.0,7856.0,52836.0,21.472,22.98573,20.74,20.983999999999998,29.276040000000002,22.68474,0.0,0.0,725.0
13.0,26.524800000000003,602.1719999999999,9966.6,0.0,22.41042,21.0,6154.0,52858.0,21.716,23.00859,20.74,21.227999999999998,50.69586,22.69617,0.0,0.0,724.0
16.0,-3.1104000000000003,602.0,9966.6,0.0,22.41804,21.1,6413.0,52878.0,21.96,23.0124,20.496,21.227999999999998,21.6027,22.69236,0.0,0.0,724.0
19.0,-8.208,599.7639999999999,9966.6,0.0,22.41423,21.1,7880.0,52895.0,21.716,23.02383,20.496,21.227999999999998,39.73068,22.69236,0.0,0.0,725.0
22.0,8.3376,596.8399999999999,10034.4,0.0,22.42566,21.0,5404.0,52909.0,21.472,23.03145,20.74,20.983999999999998,19.766280000000002,22.69236,0.0,0.0,724.0
25.0,-4.0176,602.3439999999999,10034.4,0.0,22.41804,21.0,7882.0,52921.0,21.716,23.03526,20.496,21.472,35.72637,22.69998,0.0,0.0,724.0
28.0,0.1728,600.108,9966.6,0.0,22.42947,21.0,4976.0,52932.0,21.716,23.03907,20.74,21.472,17.73174,22.69236,0.0,0.0,24.0
31.0,1.4256,585.4879999999999,10034.4,0.0,22.42947,21.0,7878.0,52941.0,21.472,23.05431,20.983999999999998,21.472,31.55442,22.7076,0.0,0.0,724.0
34.0,-1.4256,584.972,9966.6,0.0,22.42947,21.0,4544.0,52950.0,21.716,23.0505,20.74,21.227999999999998,16.66494,22.70379,0.0,0.0,725.0
37.0,0.5616,585.144,10034.4,0.0,22.42947,21.0,7869.0,52956.0,21.716,23.06574,20.74,21.227999999999998,29.44368,22.7076,0.0,0.0,725.0
40.0,-0.1296,607.16,9898.8,0.0,22.43328,20.900000000000002,5975.0,52962.0,21.716,23.06574,20.496,21.227999999999998,51.41595,22.7076,0.0,0.0,725.0
43.0,-0.38880000000000003,606.9879999999999,9966.6,0.0,22.43328,20.900000000000002,6418.0,52968.0,21.716,23.08479,20.74,21.472,21.6789,22.71141,0.0,0.0,725.0
46.0,0.0432,594.088,9966.6,0.0,22.43328,20.900000000000002,7891.0,52971.0,21.716,23.08098,20.74,21.472,39.95547,22.7076,0.0,0.0,725.0
49.0,-0.3456,607.16,9966.6,0.0,22.44471,20.900000000000002,5463.0,52974.0,21.96,23.10003,20.74,21.227999999999998,20.04822,22.71522,0.0,0.0,725.0
52.0,-0.0432,607.16,10034.4,0.0,22.43709,20.8,7894.0,52980.0,21.716,23.10384,20.983999999999998,20.983999999999998,36.37026,22.7076,0.0,0.0,724.0
55.0,-0.0864,616.276,10034.4,0.0,22.43709,20.8,5067.0,52981.0,21.472,23.10765,20.74,21.227999999999998,18.0975,22.71903,0.0,0.0,725.0
58.0,-0.1728,616.1039999999999,9898.8,0.0,22.43709,20.8,7888.0,52983.0,21.716,23.11527,20.496,21.472,32.41548,22.71903,0.0,0.0,725.0
61.0,-0.0864,616.1039999999999,10034.4,0.0,22.43709,20.8,4670.0,52986.0,21.716,23.11908,20.496,21.227999999999998,16.82877,22.72665,0.0,0.0,726.0
64.0,0.0432,616.1039999999999,9966.6,0.0,22.4409,20.8,7880.0,52988.0,21.716,23.14194,20.496,21.472,29.80563,22.72665,0.0,0.0,26.0
67.0,-0.3456,616.276,9966.6,0.0,22.43709,20.8,5542.0,52990.0,21.716,23.14194,20.983999999999998,21.227999999999998,52.73802,22.72284,0.0,0.0,725.0
70.0,-0.0432,616.276,10034.4,0.0,22.44471,20.900000000000002,6419.0,52990.0,21.472,23.14956,20.496,21.227999999999998,21.74748,22.71903,0.0,0.0,725.0
73.0,-0.1296,616.276,9898.8,0.0,22.4409,20.900000000000002,7895.0,52992.0,21.716,23.15337,20.74,21.227999999999998,40.09644,22.73046,0.0,0.0,725.0
76.0,-0.21600000000000003,616.276,9966.6,0.0,22.4409,20.900000000000002,5506.0,52992.0,21.716,23.1648,20.983999999999998,21.227999999999998,20.22729,22.73427,0.0,0.0,724.0
79.0,-0.1296,616.1039999999999,9898.8,0.0,22.4409,20.900000000000002,7898.0,52992.0,21.716,23.16861,20.983999999999998,21.472,36.75888,22.73427,0.0,0.0,725.0
