seconds,CO,CO2,PMred,flow,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,temp,rboxtemp,glastemp,gboxtemp,PMgrenRH,chiptemp
1.0,-22.3776,621.608,9831.0,0.0,23.47341,6553.6,6410.0,52797.0,25.131999999999998,26.79192,23.668,23.912,17.50695,24.97836,0.0,353.0,739.0
4.0,18.9648,608.536,9966.6,0.0,23.48103,6553.6,7910.0,52829.0,25.131999999999998,26.79192,23.912,23.912,33.43275,24.97836,0.0,53.0,738.0
7.0,-5.2704,616.7919999999999,9898.8,0.0,23.49627,6553.6,5301.0,52855.0,25.131999999999998,26.79954,23.912,24.156,20.01774,24.98598,0.0,353.0,738.0
10.0,-2.0736,614.5559999999999,9831.0,0.0,23.48484,6553.6,7925.0,52879.0,25.131999999999998,26.81097,23.912,23.912,36.93795,24.98598,0.0,353.0,739.0
13.0,5.5728,616.448,9898.8,0.0,23.50389,6553.6,5713.0,52897.0,25.131999999999998,26.803350000000002,23.424,24.156,21.84654,24.98598,0.0,352.0,739.0
16.0,-2.4192,608.02,9831.0,0.0,23.50389,6553.6,7858.0,52914.0,24.887999999999998,26.80716,23.668,23.912,40.2336,24.98979,0.0,353.0,738.0
19.0,1.1232,605.9559999999999,9898.8,0.0,23.51532,6553.6,6115.0,52928.0,24.887999999999998,26.81478,23.668,24.156,22.99335,24.97836,0.0,52.0,738.0
22.0,1.4688,604.752,9966.6,0.0,23.51913,6553.6,7603.0,52939.0,24.887999999999998,26.81859,23.912,23.912,42.5958,24.98217,0.0,352.0,739.0
25.0,-0.1296,604.5799999999999,9831.0,0.0,23.52675,6553.6,6376.0,52948.0,24.887999999999998,26.83764,23.912,24.156,22.84095,24.98598,0.0,52.0,738.0
28.0,0.9504,613.8679999999999,9898.8,0.0,23.53056,6553.6,7635.0,52959.0,24.887999999999998,26.83383,23.668,24.156,42.44721,24.97836,0.0,352.0,738.0
31.0,0.6048,613.524,9898.8,0.0,23.53818,6553.6,6363.0,52964.0,25.131999999999998,26.82621,23.668,23.912,22.87524,24.98979,0.0,52.0,739.0
34.0,0.38880000000000003,613.6959999999999,9966.6,0.0,23.54961,6553.6,7620.0,52970.0,24.887999999999998,26.83383,23.912,24.156,42.5577,24.98598,0.0,54.0,738.0
37.0,0.8208000000000001,613.524,9966.6,0.0,23.5458,6553.6,6372.0,52975.0,24.644,26.84526,23.912,24.156,22.85238,24.9936,0.0,52.0,739.0
40.0,0.5184,613.6959999999999,9966.6,0.0,23.54961,6553.6,7627.0,52980.0,24.887999999999998,26.84526,23.668,24.156,42.52722,24.98979,0.0,352.0,740.0
43.0,0.5616,613.524,9966.6,0.0,23.55342,6553.6,6377.0,52982.0,24.887999999999998,26.83383,23.912,23.912,22.84476,24.9936,0.0,52.0,739.0
46.0,0.8208000000000001,622.8119999999999,9966.6,0.0,23.55723,6553.6,7624.0,52984.0,24.887999999999998,26.841450000000002,23.668,23.912,42.5196,24.9936,0.0,352.0,739.0
49.0,0.6048,622.2959999999999,9966.6,0.0,23.55342,6553.6,6372.0,52987.0,24.887999999999998,26.84526,23.912,24.156,22.86,24.9936,0.0,53.0,739.0
52.0,0.5616,622.64,9966.6,0.0,23.56104,6553.6,7627.0,52989.0,24.887999999999998,26.84526,23.912,24.156,42.5196,24.98979,0.0,353.0,739.0
55.0,0.6048,622.8119999999999,9966.6,0.0,23.56485,6553.6,6373.0,52991.0,24.887999999999998,26.84907,23.668,23.912,22.85619,24.9936,0.0,52.0,739.0
58.0,0.6912,635.8839999999999,10034.4,0.0,23.57247,6553.6,7620.0,52991.0,24.887999999999998,26.85288,23.912,23.912,42.55389,24.99741,0.0,352.0,739.0
61.0,0.648,622.468,9966.6,0.0,23.56866,6553.6,6380.0,52993.0,25.131999999999998,26.86431,23.668,23.912,22.86381,24.99741,0.0,52.0,739.0
64.0,0.5616,622.8119999999999,9898.8,0.0,23.56485,6553.6,7621.0,52994.0,24.887999999999998,26.86431,24.156,23.912,42.56151,24.9936,0.0,352.0,739.0
67.0,0.648,622.8119999999999,9898.8,0.0,23.56866,6553.6,6385.0,52996.0,25.375999999999998,26.860500000000002,23.912,23.912,22.83714,25.00122,0.0,52.0,740.0
70.0,0.648,622.64,9966.6,0.0,23.56104,6553.6,7620.0,52996.0,25.131999999999998,26.860500000000002,23.668,23.912,42.56532,24.99741,0.0,352.0,739.0
