seconds,CO,CO2,PMred,flow,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,temp,rboxtemp,glastemp,gboxtemp,chiptemp
1.0,0.3024,649.472,9831.0,0.0,24.26589,22.8,5868.0,52770.0,26.108,28.4988,25.131999999999998,25.864,17.08785,26.75763,0.0,743.0
4.0,2.8944,648.784,9898.8,0.0,24.2697,22.8,7819.0,52808.0,26.108,28.49499,25.375999999999998,25.375999999999998,32.32785,26.7462,0.0,742.0
7.0,0.648,657.04,9898.8,0.0,24.25065,22.700000000000003,5319.0,52838.0,25.864,28.50261,25.375999999999998,25.375999999999998,21.34743,26.75001,0.0,743.0
10.0,1.3824,657.3839999999999,9831.0,0.0,24.24303,22.700000000000003,7739.0,52865.0,26.108,28.49499,25.375999999999998,25.864,39.30777,26.73858,0.0,743.0
13.0,1.7280000000000002,657.212,9966.6,0.0,24.22779,22.700000000000003,6189.0,52886.0,26.108,28.4988,25.131999999999998,25.62,23.83536,26.72715,0.0,742.0
16.0,1.1232,657.212,9831.0,0.0,24.22398,22.6,7009.0,52906.0,26.108,28.49499,25.375999999999998,25.62,45.06087,26.72715,0.0,743.0
19.0,1.4256,657.212,9966.6,0.0,24.20493,22.700000000000003,6599.0,52921.0,25.864,28.49499,25.131999999999998,25.864,23.03526,26.73477,0.0,743.0
22.0,1.3824,657.212,9898.8,0.0,24.18969,22.700000000000003,7300.0,52934.0,25.864,28.49499,25.131999999999998,25.375999999999998,43.29303,26.71953,0.0,743.0
25.0,1.4688,657.3839999999999,9898.8,0.0,24.17826,22.700000000000003,6551.0,52944.0,26.108,28.50261,25.131999999999998,25.864,23.08098,26.71953,0.0,742.0
28.0,1.1664,644.3119999999999,9898.8,0.0,24.17064,22.700000000000003,7273.0,52955.0,26.108,28.49499,25.375999999999998,25.62,43.46067,26.7081,0.0,743.0
31.0,1.4688,644.14,9898.8,0.0,24.16302,22.700000000000003,6561.0,52961.0,25.864,28.4988,25.62,25.375999999999998,23.07717,26.70429,0.0,743.0
34.0,1.1232,644.14,9898.8,0.0,24.15921,22.700000000000003,7277.0,52968.0,26.352,28.49499,25.375999999999998,25.62,43.46067,26.71191,0.0,743.0
37.0,1.3824,657.04,9898.8,0.0,24.16302,22.700000000000003,6563.0,52974.0,25.864,28.4988,25.375999999999998,25.375999999999998,23.07336,26.70048,0.0,741.0
40.0,1.3392000000000002,648.784,9898.8,0.0,24.17826,22.700000000000003,7274.0,52976.0,25.864,28.49118,25.62,25.375999999999998,43.48734,26.70048,0.0,742.0
43.0,1.3392000000000002,648.4399999999999,9898.8,0.0,24.18588,22.700000000000003,6568.0,52981.0,26.352,28.4988,25.131999999999998,25.375999999999998,23.06193,26.7081,0.0,742.0
46.0,1.2096,657.3839999999999,9898.8,0.0,24.19731,22.700000000000003,7280.0,52984.0,26.352,28.4988,25.131999999999998,25.62,43.47972,26.69667,0.0,743.0
49.0,1.3824,657.5559999999999,9898.8,0.0,24.19731,22.700000000000003,6568.0,52986.0,26.352,28.50261,25.375999999999998,25.62,23.06955,26.69286,0.0,744.0
52.0,1.3392000000000002,657.3839999999999,9966.6,0.0,24.20493,22.700000000000003,7263.0,52989.0,26.352,28.50642,25.62,25.375999999999998,43.57878,26.68524,0.0,743.0
55.0,1.296,648.4399999999999,9898.8,0.0,24.21255,22.700000000000003,6573.0,52991.0,26.352,28.50261,25.375999999999998,25.375999999999998,23.06193,26.69286,0.0,742.0
58.0,1.4688,644.3119999999999,9966.6,0.0,24.20874,22.700000000000003,7276.0,52991.0,26.108,28.49499,25.131999999999998,25.375999999999998,43.52544,26.68905,0.0,743.0
61.0,1.296,643.968,9831.0,0.0,24.20493,22.700000000000003,6574.0,52993.0,26.108,28.50261,25.62,25.375999999999998,23.05431,26.69286,0.0,743.0
64.0,1.2096,657.5559999999999,9966.6,0.0,24.21636,22.6,7268.0,52993.0,26.108,28.50642,25.375999999999998,25.62,43.55973,26.68524,0.0,744.0
67.0,1.3392000000000002,657.3839999999999,9966.6,0.0,24.21636,22.700000000000003,6579.0,52993.0,25.864,28.51023,25.375999999999998,25.375999999999998,23.06955,26.68905,0.0,743.0
70.0,1.1664,657.728,9898.8,0.0,24.20493,22.6,7267.0,52995.0,26.352,28.50642,25.131999999999998,25.62,43.59783,26.68905,0.0,742.0
73.0,1.3392000000000002,644.3119999999999,9966.6,0.0,24.20874,22.700000000000003,6581.0,52995.0,26.108,28.50642,25.62,25.62,23.06574,26.68143,0.0,743.0
76.0,1.2528000000000001,653.428,9898.8,0.0,24.20493,22.6,7267.0,52996.0,26.108,28.51023,25.375999999999998,25.62,43.60164,26.68524,0.0,743.0
79.0,1.2528000000000001,653.084,9966.6,0.0,24.20112,22.6,6584.0,52995.0,26.352,28.51785,25.375999999999998,25.62,23.06955,26.68143,0.0,743.0
82.0,1.4256,653.084,9966.6,0.0,24.18969,22.6,7260.0,52995.0,26.108,28.51785,25.375999999999998,25.375999999999998,43.63974,26.67762,0.0,743.0
85.0,1.2528000000000001,662.0279999999999,9966.6,0.0,24.17445,22.700000000000003,6585.0,52997.0,26.108,28.51404,25.131999999999998,25.62,23.06574,26.68905,0.0,743.0
88.0,1.4256,675.2719999999999,9898.8,0.0,24.17064,22.6,7265.0,52997.0,26.108,28.51785,25.375999999999998,25.375999999999998,43.62069,26.68143,0.0,743.0
91.0,1.2528000000000001,675.444,9966.6,0.0,24.16302,22.6,6586.0,52996.0,26.352,28.53309,25.375999999999998,25.62,23.06955,26.68143,0.0,743.0
94.0,1.512,662.0279999999999,9898.8,0.0,24.14016,22.6,7257.0,52996.0,26.352,28.52928,25.62,25.375999999999998,43.68927,26.67762,0.0,744.0
97.0,1.1664,662.0279999999999,9898.8,0.0,24.12492,22.700000000000003,6588.0,52998.0,26.108,28.52547,25.62,25.375999999999998,23.06574,26.67762,0.0,743.0
100.0,1.3824,666.6719999999999,9966.6,0.0,24.10968,22.6,7267.0,52997.0,26.352,28.52166,25.131999999999998,25.62,43.63593,26.67762,0.0,742.0
103.0,1.2528000000000001,666.8439999999999,9966.6,0.0,24.10206,22.700000000000003,6590.0,52997.0,26.108,28.5369,25.62,25.62,23.07336,26.67381,0.0,743.0
106.0,1.2528000000000001,653.428,9898.8,0.0,24.0792,22.6,7256.0,52997.0,26.596,28.5369,25.375999999999998,25.375999999999998,43.70451,26.67762,0.0,742.0
109.0,1.3824,666.328,9898.8,0.0,24.06396,22.700000000000003,6595.0,52997.0,26.352,28.54071,25.131999999999998,25.62,23.06193,26.67381,0.0,743.0
112.0,1.1664,653.256,9966.6,0.0,24.04491,22.6,7257.0,52996.0,25.864,28.54452,25.375999999999998,25.375999999999998,43.7007,26.67762,0.0,744.0
